,gender,program,submitted_on,age_on_program_start,years_work_experience,nationality,other_nationality,applicant_state
414,Female,Full-time MBA,2022-04-09,30,9,India,Egypt,enrolled
415,Female,Full-time MBA,2022-04-29,38,11,India,,enrolled
416,Male,Full-time MBA,2023-09-11,28,3,Ireland,,enrolled
417,Male,Full-time MBA,2022-03-03,38,10,India,,rejected
418,Male,Full-time MBA,2022-07-10,26,4,India,,rejected
419,Male,Full-time MBA,2022-08-28,27,4,India,,rejected
420,Female,Full-time MBA,2021-07-02,33,9,United States,,declined_offer
421,Male,Full-time MBA,2021-12-02,31,7,India,,rejected
422,Female,Full-time MBA,2023-02-17,30,7,India,,rejected
423,Female,Full-time MBA,2021-10-29,27,5,India,,withdrawn
424,Male,Full-time MBA,2023-10-16,42,17,India,,deferred
425,Female,Full-time MBA,2023-10-15,27,1,India,,rejected
426,Male,Full-time MBA,2023-05-26,30,4,India,,withdrawn
427,Male,Full-time MBA,2024-01-30,26,1,India,,enrolled
428,Female,Full-time MBA,2022-05-28,29,3,United States,,enrolled
429,Male,Full-time MBA,2022-09-10,31,11,India,,on_hold
430,Male,Full-time MBA,2022-08-18,36,12,Brazil,,enrolled
431,Female,Full-time MBA,2023-07-13,37,10,India,,enrolled
432,Male,Full-time MBA,2021-11-18,31,3,India,,enrolled
433,Male,Full-time MBA,2021-12-22,25,3,India,Taiwan,rejected
434,Male,Full-time MBA,2021-07-25,27,4,Nigeria,,declined_offer
435,Male,Full-time MBA,2023-01-10,30,8,United States,,enrolled
436,Male,Full-time MBA,2022-08-02,23,2,France,,withdrawn
437,Male,Full-time MBA,2023-04-29,29,2,India,,rejected
438,Male,Full-time MBA,2023-06-02,27,5,India,,rejected
439,Female,Full-time MBA,2022-10-28,28,4,India,,enrolled
440,Male,Full-time MBA,2023-10-25,45,15,India,,rejected
441,Male,Full-time MBA,2023-08-14,31,11,Germany,,enrolled
442,Male,Full-time MBA,2022-01-15,33,11,China,Algeria,rejected
443,Male,Full-time MBA,2022-03-27,33,5,India,,declined_offer
444,Female,Full-time MBA,2020-09-13,29,9,India,,rejected
445,Male,Full-time MBA,2021-04-22,30,5,India,,rejected
446,Male,Full-time MBA,2022-12-25,31,6,India,,rejected
447,Male,Full-time MBA,2021-11-07,33,12,Germany,,declined_offer
448,Male,Full-time MBA,2021-08-09,23,2,India,,enrolled
449,Male,Full-time MBA,2023-04-30,25,3,France,,rejected
450,Male,Full-time MBA,2023-04-11,31,4,India,,on_hold
451,Male,Full-time MBA,2021-03-03,31,7,India,,rejected
452,Male,Full-time MBA,2021-06-09,34,6,China,,declined_offer
453,Female,Full-time MBA,2023-01-05,30,4,Ghana,,declined_offer
454,Female,Full-time MBA,2023-11-06,29,6,China,,deferred
455,Female,Full-time MBA,2021-06-26,27,2,India,,enrolled
456,Male,Full-time MBA,2024-02-26,27,5,Germany,,enrolled
457,Male,Full-time MBA,2021-05-31,26,5,Germany,,declined_offer
458,Male,Full-time MBA,2023-08-13,31,6,China,,enrolled
459,Male,Full-time MBA,2023-10-12,32,5,Ukraine,,enrolled
460,Male,Full-time MBA,2020-10-24,31,11,India,Croatia,rejected
461,Female,Full-time MBA,2021-03-06,31,7,India,,declined_offer
462,Female,Full-time MBA,2020-11-10,35,15,Russian Federation,,enrolled
463,Male,Full-time MBA,2022-11-22,36,13,India,,rejected
464,Female,Full-time MBA,2021-01-20,27,1,China,Romania,declined_offer
465,Male,Full-time MBA,2023-05-26,28,4,United States,,withdrawn
466,Male,Full-time MBA,2023-12-14,23,3,United States,,enrolled
467,Male,Full-time MBA,2022-08-12,25,4,Canada,,withdrawn
468,Male,Full-time MBA,2021-01-26,46,19,China,,rejected
469,Male,Full-time MBA,2021-03-13,28,5,India,,rejected
470,Male,Full-time MBA,2022-03-13,28,6,India,,rejected
471,Male,Full-time MBA,2021-07-06,27,4,United States,,enrolled
472,Female,Full-time MBA,2020-12-23,33,10,Russian Federation,,rejected
473,Male,Full-time MBA,2022-09-25,26,5,India,,on_hold
474,Male,Full-time MBA,2024-02-26,30,7,Germany,,enrolled
475,Male,Full-time MBA,2022-11-27,37,8,India,,rejected
476,Male,Full-time MBA,2020-12-20,28,7,India,,on_hold
477,Male,Full-time MBA,2022-04-06,36,11,Taiwan,,enrolled
478,Male,Full-time MBA,2024-02-01,26,4,India,Iran,rejected
479,Male,Full-time MBA,2023-09-04,33,5,India,,rejected
480,Male,Full-time MBA,2021-06-12,30,8,India,,rejected
481,Female,Full-time MBA,2023-09-01,24,4,India,Croatia,rejected
482,Male,Full-time MBA,2021-01-14,40,20,United States,,declined_offer
483,Male,Full-time MBA,2024-03-23,29,3,Georgia,United States,rejected
484,Male,Full-time MBA,2023-10-24,28,2,India,,rejected
485,Male,Full-time MBA,2023-12-10,33,10,India,,rejected
486,Female,Full-time MBA,2022-06-14,30,10,Germany,China,enrolled
487,Male,Full-time MBA,2020-12-10,20,0,Taiwan,,rejected
488,Male,Full-time MBA,2022-07-05,28,6,United States,,enrolled
489,Male,Full-time MBA,2023-02-22,26,1,India,,deferred
490,Male,Full-time MBA,2022-07-10,28,5,Brazil,,enrolled
491,Female,Full-time MBA,2022-09-17,31,8,Georgia,Lebanon,deferred
492,Male,Full-time MBA,2023-04-12,30,6,India,Nigeria,rejected
493,Male,Full-time MBA,2022-04-09,27,6,Mexico,,enrolled
494,Male,Full-time MBA,2023-12-03,25,3,India,,rejected
495,Female,Full-time MBA,2021-07-13,25,4,United States,,declined_offer
496,Male,Full-time MBA,2021-11-08,38,14,Germany,,enrolled
497,Male,Full-time MBA,2022-06-10,40,17,India,,rejected
498,Male,Full-time MBA,2021-04-07,30,4,China,,rejected
499,Male,Full-time MBA,2021-06-28,36,14,India,,rejected
500,Male,Full-time MBA,2021-02-24,31,6,Germany,,deferred
501,Male,Full-time MBA,2023-01-01,31,7,India,,rejected
502,Male,Full-time MBA,2023-09-02,29,4,United States,,declined_offer
503,Male,Full-time MBA,2022-08-27,33,11,India,,rejected
504,Male,Full-time MBA,2021-12-10,28,6,India,,enrolled
505,Male,Full-time MBA,2023-05-31,33,12,India,,rejected
506,Female,Full-time MBA,2024-01-20,33,6,India,,declined_offer
507,Male,Full-time MBA,2022-03-24,29,7,India,,enrolled
508,Male,Full-time MBA,2021-07-30,25,4,India,,rejected
509,Male,Full-time MBA,2021-01-08,25,3,India,,rejected
510,Male,Full-time MBA,2021-06-28,32,10,Egypt,,rejected
511,Male,Full-time MBA,2021-12-23,34,8,China,,withdrawn
512,Male,Full-time MBA,2022-08-09,29,4,Kenya,,enrolled
513,Male,Full-time MBA,2022-10-23,28,8,India,,withdrawn
514,Female,Full-time MBA,2022-02-24,33,8,India,,rejected
515,Male,Full-time MBA,2021-06-13,33,7,Hong Kong,,withdrawn
516,Male,Full-time MBA,2022-07-01,21,0,United States,Chile,withdrawn
517,Male,Full-time MBA,2023-01-23,29,8,Canada,,enrolled
518,Male,Full-time MBA,2021-07-30,21,1,Canada,,enrolled
519,Female,Full-time MBA,2020-12-04,29,4,Iran,Egypt,deferred
520,Male,Full-time MBA,2021-09-22,28,7,India,,rejected
521,Male,Full-time MBA,2022-05-08,32,5,Russian Federation,,enrolled
522,Male,Full-time MBA,2021-04-07,22,2,India,,rejected
523,Male,Full-time MBA,2021-11-07,33,7,India,,deferred
524,Male,Full-time MBA,2021-04-06,49,20,Peru,,deferred
525,Male,Full-time MBA,2021-02-22,26,3,India,Romania,rejected
526,Male,Full-time MBA,2022-12-05,37,13,Russian Federation,,rejected
527,Male,Full-time MBA,2021-08-31,26,4,Germany,,declined_offer
528,Female,Full-time MBA,2024-01-20,33,11,Nigeria,,rejected
529,Male,Full-time MBA,2021-12-16,29,4,China,,rejected
530,Female,Full-time MBA,2020-11-23,29,7,Italy,,rejected
531,Male,Full-time MBA,2021-03-17,28,6,Peru,,withdrawn
532,Male,Full-time MBA,2022-08-19,41,17,Georgia,,enrolled
533,Female,Full-time MBA,2023-03-16,36,7,Nigeria,,withdrawn
534,Female,Full-time MBA,2024-02-15,34,8,India,,rejected
535,Female,Full-time MBA,2022-06-17,36,14,India,,declined_offer
536,Male,Full-time MBA,2024-01-26,36,12,Philippines,,rejected
537,Male,Full-time MBA,2020-12-28,32,11,India,,withdrawn
538,Male,Full-time MBA,2021-04-10,28,5,India,,rejected
539,Male,Full-time MBA,2022-07-31,29,4,Canada,,enrolled
540,Male,Full-time MBA,2021-11-20,35,13,Ireland,Mexico,withdrawn
541,Male,Full-time MBA,2023-03-14,32,5,India,,rejected
542,Male,Full-time MBA,2020-12-30,28,8,Peru,,enrolled
543,Male,Full-time MBA,2022-10-04,27,4,Italy,,rejected
544,Female,Full-time MBA,2023-05-08,30,7,United States,,rejected
545,Male,Full-time MBA,2021-11-22,31,8,India,,rejected
546,Male,Full-time MBA,2021-05-15,27,6,Mexico,,enrolled
547,Male,Full-time MBA,2021-04-13,33,11,India,,rejected
548,Female,Full-time MBA,2020-10-18,27,4,United States,,enrolled
549,Male,Full-time MBA,2022-06-19,27,4,India,,rejected
550,Female,Full-time MBA,2023-04-25,31,11,China,Iran,enrolled
551,Male,Full-time MBA,2024-03-17,31,3,India,,rejected
552,Male,Full-time MBA,2024-03-30,26,4,Taiwan,,withdrawn
553,Male,Full-time MBA,2022-04-12,30,6,India,,on_hold
554,Male,Full-time MBA,2023-08-29,32,12,China,,enrolled
555,Male,Full-time MBA,2021-05-07,30,6,Turkey,,enrolled
556,Male,Full-time MBA,2023-05-21,29,4,India,,enrolled
557,Male,Full-time MBA,2023-01-07,36,12,Nigeria,Taiwan,rejected
558,Male,Full-time MBA,2023-12-03,32,11,China,,withdrawn
559,Male,Full-time MBA,2022-06-15,34,11,Pakistan,,declined_offer
560,Male,Full-time MBA,2021-03-19,37,16,United Kingdom,,withdrawn
561,Female,Full-time MBA,2022-07-26,34,14,India,,withdrawn
562,Male,Full-time MBA,2022-03-01,36,11,Nigeria,San Marino,enrolled
563,Male,Full-time MBA,2021-03-24,36,14,India,,rejected
564,Male,Full-time MBA,2022-10-04,31,4,India,Nigeria,rejected
565,Female,Full-time MBA,2023-09-10,34,5,India,,rejected
566,Female,Full-time MBA,2023-10-09,26,1,India,,withdrawn
567,Male,Full-time MBA,2020-11-16,29,2,India,,rejected
568,Male,Full-time MBA,2024-03-04,28,8,India,,on_hold
569,Male,Full-time MBA,2020-12-24,28,2,Germany,,rejected
570,Female,Full-time MBA,2023-12-13,27,1,Colombia,,enrolled
571,Male,Full-time MBA,2021-03-21,29,2,India,,on_hold
572,Male,Full-time MBA,2022-08-31,27,5,India,,withdrawn
573,Male,Full-time MBA,2024-02-12,28,8,Mexico,,enrolled
574,Male,Full-time MBA,2023-08-24,25,3,Peru,Iran,enrolled
575,Female,Full-time MBA,2021-12-20,30,8,India,,rejected
576,Male,Full-time MBA,2021-08-25,33,10,Mexico,,declined_offer
577,Female,Full-time MBA,2023-07-21,29,7,Pakistan,,declined_offer
578,Male,Full-time MBA,2022-02-26,28,5,India,,rejected
579,Male,Full-time MBA,2022-09-09,27,5,Georgia,,rejected
580,Female,Full-time MBA,2022-05-22,26,5,Italy,,withdrawn
581,Female,Full-time MBA,2023-08-28,32,8,Italy,,rejected
582,Male,Full-time MBA,2023-02-20,41,19,Italy,,declined_offer
583,Male,Full-time MBA,2024-01-08,48,18,India,,declined_offer
584,Male,Full-time MBA,2023-04-26,31,7,India,,withdrawn
585,Female,Full-time MBA,2021-02-03,29,7,India,,deferred
586,Female,Full-time MBA,2023-08-13,29,3,Taiwan,,withdrawn
587,Female,Full-time MBA,2022-02-04,25,4,Hungary,,enrolled
588,Male,Full-time MBA,2021-02-05,26,5,India,,rejected
589,Male,Full-time MBA,2022-08-22,37,14,India,,enrolled
590,Male,Full-time MBA,2023-09-20,26,3,India,Morocco,withdrawn
591,Female,Full-time MBA,2021-11-02,28,8,Mexico,,declined_offer
592,Male,Full-time MBA,2021-08-10,27,5,India,,rejected
593,Male,Full-time MBA,2022-02-16,29,5,Ghana,,enrolled
594,Male,Full-time MBA,2022-04-30,45,19,China,,enrolled
595,Male,Full-time MBA,2022-09-20,32,7,India,Tunisia,rejected
596,Male,Full-time MBA,2020-10-21,38,17,India,,rejected
597,Non-binary,Full-time MBA,2022-12-22,28,4,India,,declined_offer
598,Male,Full-time MBA,2023-04-27,27,4,Germany,,declined_offer
599,Male,Full-time MBA,2022-06-30,26,4,India,,rejected
600,Male,Full-time MBA,2023-04-17,41,17,India,Serbia,rejected
601,Male,Full-time MBA,2022-09-07,30,9,Canada,,rejected
602,Male,Full-time MBA,2023-08-24,29,9,Turkey,,enrolled
603,Female,Full-time MBA,2023-12-29,29,9,United States,,deferred
604,Male,Full-time MBA,2022-05-28,33,7,United States,,rejected
605,Male,Full-time MBA,2023-12-22,33,8,India,,enrolled
606,Female,Full-time MBA,2021-09-15,25,3,India,,rejected
607,Male,Full-time MBA,2022-05-07,27,2,Kenya,,deferred
608,Female,Full-time MBA,2021-04-08,29,6,India,,declined_offer
609,Female,Full-time MBA,2021-07-13,33,12,India,,rejected
610,Female,Full-time MBA,2023-01-26,27,5,China,,rejected
611,Male,Full-time MBA,2023-12-16,24,4,India,,rejected
612,Female,Full-time MBA,2021-06-18,34,7,France,,enrolled
613,Female,Full-time MBA,2023-07-13,33,5,Korea,,enrolled
614,Female,Full-time MBA,2022-11-26,27,2,China,,enrolled
615,Male,Full-time MBA,2023-05-15,29,8,India,,rejected
616,Male,Full-time MBA,2022-07-27,40,13,Peru,,deferred
617,Female,Full-time MBA,2021-03-03,22,0,Nigeria,Hong Kong,enrolled
618,Male,Full-time MBA,2021-12-20,33,9,Korea,,rejected
619,Male,Full-time MBA,2021-09-05,29,5,Netherlands,,deferred
620,Female,Full-time MBA,2022-09-02,38,17,China,,enrolled
621,Female,Full-time MBA,2020-10-09,27,5,United States,,enrolled
622,Male,Full-time MBA,2021-06-05,27,7,India,Iran,deferred
623,Female,Full-time MBA,2022-06-07,27,4,Nigeria,,enrolled
624,Female,Full-time MBA,2022-10-02,27,4,Mexico,,rejected
625,Male,Full-time MBA,2023-07-05,27,4,India,,declined_offer
626,Male,Full-time MBA,2023-07-30,26,2,China,,rejected
627,Female,Full-time MBA,2021-08-12,24,1,India,,rejected
628,Male,Full-time MBA,2022-07-22,46,18,Mexico,,deferred
629,Male,Full-time MBA,2023-10-28,36,9,India,,rejected
630,Female,Full-time MBA,2022-06-13,29,5,India,,enrolled
631,Female,Full-time MBA,2021-08-24,29,7,Germany,,rejected
632,Male,Full-time MBA,2021-09-14,37,17,India,,rejected
633,Female,Full-time MBA,2021-03-23,21,1,India,,declined_offer
634,Female,Full-time MBA,2023-04-05,27,1,Mexico,,declined_offer
635,Male,Full-time MBA,2023-03-15,33,11,China,,withdrawn
636,Male,Full-time MBA,2023-04-02,36,9,China,,rejected
637,Male,Full-time MBA,2023-06-20,29,7,Pakistan,,enrolled
638,Male,Full-time MBA,2023-03-24,27,5,India,,rejected
639,Male,Full-time MBA,2024-02-29,27,7,United States,,rejected
640,Male,Full-time MBA,2022-10-26,31,11,Algeria,,declined_offer
641,Female,Full-time MBA,2021-07-17,32,7,India,,rejected
642,Male,Full-time MBA,2022-06-03,34,14,India,,rejected
643,Female,Full-time MBA,2022-06-16,28,4,India,,declined_offer
644,Male,Full-time MBA,2021-11-29,33,7,United States,,enrolled
645,Male,Full-time MBA,2023-11-25,31,5,India,,withdrawn
646,Female,Full-time MBA,2022-07-21,33,4,China,,enrolled
647,Male,Full-time MBA,2021-01-16,27,4,India,,withdrawn
648,Male,Full-time MBA,2021-07-26,31,5,India,,rejected
649,Male,Full-time MBA,2023-01-20,29,2,Germany,,withdrawn
650,Male,Full-time MBA,2021-07-04,29,9,India,,rejected
651,Female,Full-time MBA,2021-07-30,30,6,China,,on_hold
652,Male,Full-time MBA,2021-01-10,31,4,Australia,,deferred
653,Male,Full-time MBA,2023-05-19,41,15,India,,rejected
654,Male,Full-time MBA,2020-09-12,38,10,India,,rejected
655,Male,Full-time MBA,2021-03-11,29,8,Egypt,,rejected
656,Female,Full-time MBA,2022-05-16,34,7,India,,rejected
657,Male,Full-time MBA,2021-04-03,25,3,India,,rejected
658,Male,Full-time MBA,2023-02-21,33,12,India,,rejected
659,Female,Full-time MBA,2021-08-07,26,5,India,,withdrawn
660,Male,Full-time MBA,2021-10-14,27,1,Germany,,rejected
661,Male,Full-time MBA,2023-04-16,32,11,India,,rejected
662,Female,Full-time MBA,2021-11-23,36,12,India,,rejected
663,Male,Full-time MBA,2021-10-25,34,10,India,,declined_offer
664,Male,Full-time MBA,2021-04-30,27,6,India,,rejected
665,Male,Full-time MBA,2022-08-14,39,10,Russian Federation,,rejected
666,Male,Full-time MBA,2022-01-10,29,5,Nigeria,,enrolled
667,Male,Full-time MBA,2022-11-02,33,5,India,Turkey,declined_offer
668,Male,Full-time MBA,2022-02-08,29,7,China,,enrolled
669,Male,Full-time MBA,2022-01-30,29,2,India,,on_hold
670,Male,Full-time MBA,2023-08-28,28,7,Hungary,,declined_offer
671,Female,Full-time MBA,2020-12-19,29,5,India,,rejected
672,Male,Full-time MBA,2022-05-04,33,11,India,,on_hold
673,Male,Full-time MBA,2022-08-06,37,17,Philippines,Italy,withdrawn
674,Male,Full-time MBA,2021-01-21,26,4,India,,enrolled
675,Male,Full-time MBA,2023-08-11,30,6,China,,enrolled
676,Male,Full-time MBA,2023-10-29,24,1,Turkey,,deferred
677,Male,Full-time MBA,2022-05-22,27,2,Brazil,,withdrawn
678,Female,Full-time MBA,2024-01-20,28,6,India,,enrolled
679,Male,Full-time MBA,2022-04-26,32,5,India,,rejected
680,Male,Full-time MBA,2022-05-09,33,7,India,,deferred
681,Male,Full-time MBA,2023-04-08,29,9,Italy,,enrolled
682,Male,Full-time MBA,2023-08-12,26,4,Nigeria,Venezuela,enrolled
683,Male,Full-time MBA,2022-03-24,33,5,India,,enrolled
684,Male,Full-time MBA,2022-08-15,30,10,Georgia,,rejected
685,Male,Full-time MBA,2024-03-24,32,10,India,,rejected
686,Female,Full-time MBA,2023-05-31,31,4,Korea,,rejected
687,Male,Full-time MBA,2022-08-03,26,4,Russian Federation,,enrolled
688,Male,Full-time MBA,2021-05-12,23,3,India,,on_hold
689,Male,Full-time MBA,2023-03-22,29,3,India,,rejected
690,Male,Full-time MBA,2020-09-08,33,8,India,,rejected
691,Male,Full-time MBA,2023-09-13,33,6,India,,enrolled
692,Female,Full-time MBA,2023-06-13,30,3,India,,rejected
693,Male,Full-time MBA,2024-01-12,33,8,Brazil,,rejected
694,Female,Full-time MBA,2023-09-18,26,4,United States,,rejected
695,Male,Full-time MBA,2021-02-04,30,6,Russian Federation,,rejected
696,Male,Full-time MBA,2021-06-14,26,4,China,,withdrawn
697,Male,Full-time MBA,2022-02-10,28,4,India,,enrolled
698,Male,Full-time MBA,2022-08-31,28,4,India,,on_hold
699,Female,Full-time MBA,2023-04-01,37,12,India,Brazil,withdrawn
700,Male,Full-time MBA,2022-11-10,31,8,Turkey,,declined_offer
701,Female,Full-time MBA,2022-02-10,37,10,Kenya,,enrolled
702,Male,Full-time MBA,2021-12-01,33,6,India,,rejected
703,Female,Full-time MBA,2022-06-27,27,3,United Kingdom,,enrolled
704,Female,Full-time MBA,2022-05-18,32,5,France,,enrolled
705,Male,Full-time MBA,2022-02-06,28,6,India,,rejected
706,Male,Full-time MBA,2023-01-15,24,3,India,,rejected
707,Female,Full-time MBA,2023-04-20,33,6,India,,rejected
708,Female,Full-time MBA,2021-04-13,33,9,India,,declined_offer
709,Male,Full-time MBA,2020-09-06,38,17,Nigeria,,declined_offer
710,Female,Full-time MBA,2023-08-22,33,11,Nigeria,,enrolled
711,Male,Full-time MBA,2023-06-01,28,3,Peru,,declined_offer
712,Female,Full-time MBA,2023-10-30,39,15,Peru,,declined_offer
713,Female,Full-time MBA,2023-10-27,31,9,Germany,Croatia,enrolled
714,Female,Full-time MBA,2020-09-08,33,11,India,,enrolled
715,Female,Full-time MBA,2023-04-20,27,6,Egypt,,enrolled
716,Male,Full-time MBA,2024-03-25,36,14,Taiwan,Ukraine,on_hold
717,Male,Full-time MBA,2024-02-21,26,3,China,,enrolled
718,Male,Full-time MBA,2023-09-30,27,5,India,,rejected
719,Female,Full-time MBA,2021-05-06,23,1,United Kingdom,,enrolled
720,Male,Full-time MBA,2023-11-26,36,14,Germany,,rejected
721,Male,Full-time MBA,2023-01-02,29,5,India,Hungary,rejected
722,Male,Full-time MBA,2020-10-13,36,12,Sweden,,enrolled
723,Female,Full-time MBA,2023-03-12,25,3,Canada,,enrolled
724,Female,Full-time MBA,2022-01-04,27,4,Ireland,,declined_offer
725,Male,Full-time MBA,2022-06-20,26,4,China,,rejected
726,Male,Full-time MBA,2023-08-19,25,3,Ukraine,Greece,enrolled
727,Male,Full-time MBA,2021-03-03,27,3,China,,enrolled
728,Male,Full-time MBA,2024-03-08,32,8,Italy,,enrolled
729,Male,Full-time MBA,2023-12-03,28,5,India,,rejected
730,Male,Full-time MBA,2022-07-17,31,7,India,,rejected
731,Male,Full-time MBA,2021-07-27,29,4,India,,enrolled
732,Male,Full-time MBA,2023-12-12,29,2,United States,,enrolled
733,Male,Full-time MBA,2021-08-24,34,11,India,,on_hold
734,Male,Full-time MBA,2020-10-30,29,9,China,,enrolled
735,Male,Full-time MBA,2020-12-14,30,10,United Kingdom,,deferred
736,Male,Full-time MBA,2021-05-25,41,16,United States,,withdrawn
737,Male,Full-time MBA,2023-06-25,28,4,China,,rejected
738,Male,Full-time MBA,2021-03-06,26,6,China,,declined_offer
739,Male,Full-time MBA,2021-05-22,30,10,France,,enrolled
740,Male,Full-time MBA,2022-09-04,33,8,Germany,,rejected
741,Female,Full-time MBA,2022-02-02,27,4,India,,enrolled
742,Female,Full-time MBA,2022-12-03,30,7,India,,deferred
743,Male,Full-time MBA,2023-09-28,40,14,Finland,,rejected
744,Male,Full-time MBA,2021-12-05,40,20,India,,rejected
745,Male,Full-time MBA,2023-09-05,26,2,India,,declined_offer
746,Male,Full-time MBA,2022-10-08,25,3,Mexico,,enrolled
747,Male,Full-time MBA,2022-09-10,28,3,India,,declined_offer
748,Male,Full-time MBA,2024-03-18,26,1,China,,enrolled
749,Male,Full-time MBA,2020-12-25,28,5,India,,enrolled
750,Male,Full-time MBA,2021-02-23,29,6,Mexico,,declined_offer
751,Male,Full-time MBA,2022-02-28,30,8,India,,on_hold
752,Male,Full-time MBA,2022-06-04,33,4,India,,rejected
753,Male,Full-time MBA,2020-09-10,30,9,Canada,,enrolled
754,Male,Full-time MBA,2023-08-06,27,4,Kenya,,declined_offer
755,Male,Full-time MBA,2020-11-17,45,20,Korea,,enrolled
756,Female,Full-time MBA,2023-08-05,49,19,India,,rejected
757,Male,Full-time MBA,2023-10-24,25,3,Jordan,,enrolled
758,Male,Full-time MBA,2021-10-09,29,7,United States,,declined_offer
759,Male,Full-time MBA,2022-01-03,25,4,India,,rejected
760,Female,Full-time MBA,2023-01-11,30,7,Norway,,declined_offer
761,Female,Full-time MBA,2022-03-09,25,4,United Kingdom,,declined_offer
762,Male,Full-time MBA,2023-04-19,29,7,Italy,,withdrawn
763,Male,Full-time MBA,2023-04-19,34,7,India,,rejected
764,Male,Full-time MBA,2021-11-04,31,9,Chile,,rejected
765,Male,Full-time MBA,2020-11-21,31,7,Australia,,deferred
766,Male,Full-time MBA,2021-04-24,28,7,India,,rejected
767,Male,Full-time MBA,2023-02-14,30,5,Philippines,,deferred
768,Male,Full-time MBA,2021-09-17,50,16,India,,enrolled
769,Male,Full-time MBA,2023-05-31,32,6,India,,on_hold
770,Male,Full-time MBA,2023-11-13,31,10,India,,rejected
771,Female,Full-time MBA,2021-02-12,24,2,United States,,rejected
772,Male,Full-time MBA,2024-03-09,37,17,China,,declined_offer
773,Female,Full-time MBA,2023-06-26,27,5,United States,,withdrawn
774,Male,Full-time MBA,2022-05-01,33,10,India,Japan,rejected
775,Female,Full-time MBA,2021-05-06,36,13,Turkey,,rejected
776,Male,Full-time MBA,2021-11-07,30,9,Pakistan,,enrolled
777,Male,Full-time MBA,2023-03-24,32,12,Nigeria,,rejected
