,gender,program,submitted_on,age_on_program_start,years_work_experience,nationality,other_nationality,applicant_state
418,Male,Online MBA,2021-02-02,22,2,France,,withdrawn
419,Female,Executive MBA,2024-02-20,38,15,China,,enrolled
420,Female,Online MBA,2021-07-26,31,11,Sweden,,enrolled
421,Male,Part-time MBA,2022-03-25,38,15,Russian Federation,Poland,enrolled
422,Female,Part-time MBA,2024-03-24,35,16,Germany,,rejected
423,Male,Online MBA,2021-08-06,41,11,Italy,,enrolled
424,Male,Executive MBA,2021-01-16,40,10,China,,enrolled
425,Female,Executive MBA,2022-02-25,44,16,China,,enrolled
426,Female,Online MBA,2021-02-08,42,10,China,,enrolled
427,Male,Online MBA,2023-06-26,25,2,Germany,,enrolled
428,Female,Online MBA,2023-03-13,28,3,India,,enrolled
429,Male,Executive MBA,2024-03-04,27,1,Portugal,,enrolled
430,Female,Executive MBA,2022-07-07,36,14,Germany,,enrolled
431,Male,Online MBA,2022-01-01,32,8,France,,enrolled
432,Male,Part-time MBA,2021-12-12,24,4,India,Sweden,enrolled
433,Female,Online MBA,2020-11-22,47,20,Italy,,enrolled
434,Female,Part-time MBA,2023-05-07,28,7,Taiwan,,enrolled
435,Female,Online MBA,2023-02-08,22,0,China,,enrolled
436,Male,Part-time MBA,2022-09-12,26,4,Russian Federation,,enrolled
437,Male,Online MBA,2024-03-08,46,19,Ireland,,enrolled
438,Female,Part-time MBA,2022-10-29,28,5,Italy,,enrolled
439,Female,Online MBA,2023-11-07,39,15,Germany,,declined_offer
440,Female,Part-time MBA,2024-01-10,24,1,China,,enrolled
441,Male,Online MBA,2022-01-13,40,12,Ghana,,deferred
442,Female,Part-time MBA,2023-10-23,34,8,China,,enrolled
443,Male,Executive MBA,2022-02-28,42,19,China,,enrolled
444,Female,Part-time MBA,2021-10-06,46,16,Germany,,enrolled
445,Female,Online MBA,2024-02-07,31,11,Italy,,enrolled
446,Female,Part-time MBA,2021-12-26,26,5,Taiwan,,enrolled
447,Female,Online MBA,2023-03-30,38,14,Turkey,,enrolled
448,Male,Online MBA,2021-11-19,30,3,Russian Federation,Canada,enrolled
449,Female,Part-time MBA,2021-06-30,30,8,Germany,,declined_offer
450,Male,Online MBA,2023-06-28,30,11,France,,rejected
451,Female,Online MBA,2023-09-23,40,14,India,San Marino,enrolled
452,Male,Executive MBA,2022-02-23,36,16,Germany,,enrolled
453,Female,Online MBA,2021-03-17,34,5,China,,withdrawn
454,Male,Executive MBA,2023-09-13,36,17,United States,,on_hold
455,Male,Online MBA,2022-05-18,37,9,Germany,,enrolled
456,Male,Online MBA,2022-10-23,33,3,Germany,Netherlands,on_hold
457,Male,Online MBA,2020-12-15,42,10,United States,,enrolled
458,Male,Part-time MBA,2022-03-10,30,6,Spain,,deferred
459,Female,Online MBA,2023-05-20,38,16,China,,withdrawn
460,Male,Executive MBA,2022-04-21,41,11,India,,enrolled
461,Female,Online MBA,2023-09-19,36,14,Iran,,enrolled
462,Male,Part-time MBA,2023-06-12,27,5,Pakistan,,withdrawn
463,Male,Online MBA,2022-08-29,33,12,France,,enrolled
464,Male,Part-time MBA,2023-10-02,35,12,Sweden,,deferred
465,Male,Online MBA,2024-01-17,35,5,Russian Federation,,withdrawn
466,Female,Executive MBA,2022-09-23,45,14,China,,enrolled
467,Female,Part-time MBA,2020-10-31,26,4,China,Algeria,enrolled
468,Male,Online MBA,2023-10-31,36,10,Greece,,rejected
469,Male,Executive MBA,2020-10-19,35,11,Kenya,,rejected
470,Male,Part-time MBA,2021-08-28,31,9,Russian Federation,,enrolled
471,Male,Online MBA,2023-04-23,31,11,Russian Federation,,declined_offer
472,Male,Online MBA,2023-03-16,36,7,China,,declined_offer
473,Female,Online MBA,2022-03-27,26,1,Turkey,,rejected
474,Male,Online MBA,2021-03-15,32,8,China,,rejected
475,Male,Executive MBA,2023-02-09,28,7,France,,rejected
476,Male,Online MBA,2022-10-01,37,18,Egypt,,enrolled
477,Female,Online MBA,2021-11-15,37,13,Italy,,enrolled
478,Male,Online MBA,2023-02-23,39,20,Mexico,,deferred
479,Male,Online MBA,2022-06-03,36,8,France,,rejected
480,Male,Executive MBA,2024-01-11,44,19,Germany,,enrolled
481,Male,Executive MBA,2021-01-01,31,9,India,,enrolled
482,Female,Executive MBA,2021-11-30,37,11,Estonia,,enrolled
483,Male,Part-time MBA,2023-05-30,28,6,India,,on_hold
484,Male,Part-time MBA,2021-10-25,36,5,United States,,enrolled
485,Male,Part-time MBA,2023-10-12,31,6,Sweden,,enrolled
486,Female,Part-time MBA,2021-09-17,36,15,Pakistan,,rejected
487,Male,Executive MBA,2022-05-18,43,11,Germany,,deferred
488,Male,Executive MBA,2021-10-16,36,13,Jordan,,declined_offer
489,Male,Part-time MBA,2021-10-12,38,10,Germany,,enrolled
490,Male,Executive MBA,2021-06-21,28,6,Russian Federation,,enrolled
491,Male,Executive MBA,2021-11-21,34,15,India,,rejected
492,Female,Executive MBA,2022-12-07,44,12,China,,enrolled
493,Male,Executive MBA,2023-11-09,39,18,Russian Federation,,enrolled
494,Female,Part-time MBA,2022-10-30,35,13,China,,rejected
495,Female,Online MBA,2021-10-18,34,11,China,,enrolled
496,Male,Online MBA,2021-02-11,35,4,China,,enrolled
497,Female,Online MBA,2023-08-12,25,4,Germany,,enrolled
498,Male,Part-time MBA,2023-01-23,26,3,Egypt,,enrolled
499,Male,Executive MBA,2022-08-11,33,5,India,,declined_offer
500,Male,Online MBA,2021-05-17,31,3,Colombia,,rejected
501,Male,Executive MBA,2022-09-05,32,13,Germany,,declined_offer
502,Female,Online MBA,2021-02-18,31,8,India,,enrolled
503,Male,Online MBA,2020-11-05,38,15,Germany,,enrolled
504,Female,Online MBA,2022-10-20,37,10,France,,enrolled
505,Male,Online MBA,2022-08-30,32,6,China,,withdrawn
506,Female,Online MBA,2023-06-27,24,2,Taiwan,,withdrawn
507,Male,Part-time MBA,2024-01-01,29,9,Pakistan,,enrolled
508,Male,Part-time MBA,2021-12-07,34,6,Algeria,Canada,enrolled
509,Male,Online MBA,2023-05-08,37,9,Pakistan,,enrolled
510,Male,Part-time MBA,2022-05-04,29,5,Russian Federation,Sweden,declined_offer
511,Female,Online MBA,2022-09-15,37,14,China,,enrolled
512,Male,Online MBA,2024-03-25,40,12,Chile,,rejected
513,Male,Online MBA,2023-09-14,27,4,Germany,,withdrawn
514,Male,Part-time MBA,2023-06-07,28,3,Russian Federation,,enrolled
515,Male,Part-time MBA,2021-01-04,33,3,China,,declined_offer
516,Male,Online MBA,2021-12-04,40,16,United States,,on_hold
517,Male,Executive MBA,2022-10-26,32,6,Korea,,declined_offer
518,Male,Part-time MBA,2022-02-17,39,20,Germany,,withdrawn
519,Male,Part-time MBA,2022-01-03,32,6,Germany,,withdrawn
520,Male,Executive MBA,2020-11-19,34,11,Australia,,enrolled
521,Female,Online MBA,2023-11-22,27,1,Germany,,enrolled
522,Male,Online MBA,2021-03-17,46,12,Poland,,rejected
523,Female,Online MBA,2022-10-03,43,20,China,,enrolled
524,Male,Executive MBA,2022-11-11,24,3,Spain,,rejected
525,Male,Online MBA,2023-01-23,45,19,Italy,,enrolled
526,Male,Online MBA,2022-06-07,31,3,Spain,,declined_offer
527,Male,Online MBA,2023-05-09,47,20,Russian Federation,,declined_offer
528,Male,Part-time MBA,2023-08-31,31,5,Brazil,,rejected
529,Female,Online MBA,2023-09-13,46,19,Germany,,enrolled
530,Male,Executive MBA,2022-06-05,40,15,Poland,,enrolled
531,Male,Part-time MBA,2023-04-29,28,5,India,,enrolled
532,Male,Online MBA,2024-03-23,44,19,Mexico,,rejected
533,Male,Online MBA,2022-04-27,32,5,Czech Republic,,enrolled
534,Male,Online MBA,2021-10-18,31,8,France,,enrolled
535,Male,Online MBA,2022-12-14,33,12,Russian Federation,,enrolled
536,Male,Executive MBA,2021-06-16,38,16,Egypt,,deferred
537,Female,Online MBA,2021-04-05,34,9,Turkey,,enrolled
538,Female,Online MBA,2021-05-21,40,20,Italy,Iran,withdrawn
539,Female,Online MBA,2024-01-05,40,18,Germany,Kenya,enrolled
540,Male,Online MBA,2023-07-22,33,13,United States,,enrolled
541,Male,Part-time MBA,2022-02-23,31,5,Spain,Chile,enrolled
542,Male,Part-time MBA,2021-11-01,44,19,India,,enrolled
543,Female,Part-time MBA,2022-12-11,28,7,Hong Kong,,rejected
544,Male,Online MBA,2022-03-27,29,5,France,,enrolled
545,Male,Part-time MBA,2022-01-04,29,7,France,,enrolled
546,Male,Executive MBA,2022-02-21,37,13,France,,enrolled
547,Male,Online MBA,2020-11-17,27,5,Romania,,enrolled
548,Female,Online MBA,2024-02-11,33,3,Germany,,enrolled
549,Male,Executive MBA,2024-03-04,29,2,Switzerland,,enrolled
550,Male,Executive MBA,2021-03-11,31,4,China,,enrolled
551,Male,Part-time MBA,2022-06-08,34,3,China,,rejected
552,Male,Executive MBA,2020-12-22,34,3,Russian Federation,,enrolled
553,Male,Executive MBA,2022-10-14,31,5,Germany,,declined_offer
554,Male,Executive MBA,2022-11-30,32,10,Kenya,,enrolled
555,Male,Executive MBA,2023-02-10,38,12,Germany,,rejected
556,Male,Part-time MBA,2021-08-26,29,3,Germany,,enrolled
557,Male,Online MBA,2024-01-06,35,16,Philippines,,enrolled
558,Male,Online MBA,2022-04-29,31,9,Switzerland,,declined_offer
559,Male,Executive MBA,2020-12-21,28,6,Germany,,enrolled
560,Male,Executive MBA,2023-03-16,42,18,Russian Federation,,declined_offer
561,Male,Online MBA,2023-06-26,30,9,Spain,Pakistan,declined_offer
562,Male,Online MBA,2022-09-12,30,7,Russian Federation,Finland,declined_offer
563,Male,Part-time MBA,2021-01-19,28,8,United States,,enrolled
564,Male,Executive MBA,2020-10-16,40,15,Germany,Switzerland,enrolled
565,Male,Executive MBA,2021-06-21,38,18,Germany,,enrolled
566,Male,Executive MBA,2023-01-08,42,19,Iran,,declined_offer
567,Female,Online MBA,2022-10-28,26,6,Hong Kong,,rejected
568,Male,Online MBA,2023-10-20,46,16,China,,enrolled
569,Male,Online MBA,2021-01-01,29,4,Iran,,rejected
570,Female,Executive MBA,2020-10-18,35,8,India,,enrolled
571,Female,Executive MBA,2020-12-17,33,9,China,,enrolled
572,Male,Online MBA,2023-07-04,28,4,Pakistan,,enrolled
573,Male,Part-time MBA,2022-10-31,35,14,China,,withdrawn
574,Female,Part-time MBA,2022-05-09,32,4,Germany,,enrolled
575,Female,Part-time MBA,2021-02-14,34,3,Algeria,,enrolled
576,Female,Part-time MBA,2023-03-22,36,10,China,,rejected
577,Male,Online MBA,2021-04-24,31,2,Germany,,enrolled
578,Male,Part-time MBA,2023-04-30,32,9,Germany,,rejected
579,Female,Online MBA,2022-10-23,34,10,Netherlands,,enrolled
580,Male,Online MBA,2021-05-27,44,17,Italy,,rejected
581,Male,Part-time MBA,2023-05-11,34,4,China,,enrolled
582,Female,Online MBA,2023-06-02,36,5,China,,enrolled
583,Male,Online MBA,2024-03-27,35,13,Ghana,,enrolled
584,Male,Online MBA,2023-09-12,42,20,Germany,,enrolled
585,Male,Part-time MBA,2023-10-12,29,5,Germany,,rejected
586,Male,Part-time MBA,2022-09-06,25,4,Portugal,,enrolled
587,Male,Online MBA,2021-04-13,31,3,Germany,,enrolled
588,Male,Executive MBA,2022-11-11,40,16,Portugal,,enrolled
589,Female,Online MBA,2024-02-21,32,5,Estonia,,enrolled
590,Male,Online MBA,2021-12-30,37,14,United States,,enrolled
591,Female,Online MBA,2021-01-07,37,13,Taiwan,Pakistan,declined_offer
592,Male,Part-time MBA,2024-02-18,32,11,Germany,Nigeria,enrolled
593,Female,Part-time MBA,2022-02-17,33,6,Italy,,enrolled
594,Female,Online MBA,2023-05-03,42,17,China,,withdrawn
595,Male,Online MBA,2023-07-19,44,20,Spain,,enrolled
596,Male,Online MBA,2021-02-01,33,9,Germany,,enrolled
597,Female,Online MBA,2023-08-06,31,3,China,,on_hold
598,Male,Executive MBA,2024-01-02,38,8,China,,rejected
599,Female,Online MBA,2022-12-20,36,13,United States,,declined_offer
600,Male,Online MBA,2023-09-05,35,5,Turkey,,enrolled
601,Male,Part-time MBA,2021-04-29,33,11,Russian Federation,,rejected
602,Male,Executive MBA,2023-11-09,41,15,Norway,,withdrawn
603,Female,Part-time MBA,2023-12-01,30,6,China,,enrolled
604,Female,Part-time MBA,2024-02-04,30,8,China,,declined_offer
605,Female,Part-time MBA,2023-01-27,33,13,India,,enrolled
606,Male,Executive MBA,2023-08-29,33,13,Russian Federation,,enrolled
607,Male,Online MBA,2023-12-13,40,20,Norway,,enrolled
608,Male,Online MBA,2023-07-10,35,4,Germany,,enrolled
609,Male,Executive MBA,2021-04-20,44,15,Russian Federation,,withdrawn
610,Male,Part-time MBA,2022-10-17,31,8,Russian Federation,,enrolled
611,Male,Online MBA,2023-02-23,37,10,Russian Federation,,withdrawn
612,Male,Online MBA,2020-12-22,27,3,Germany,,on_hold
613,Male,Part-time MBA,2022-03-29,25,4,Greece,,enrolled
614,Male,Executive MBA,2022-06-16,38,19,Russian Federation,,rejected
615,Female,Online MBA,2021-04-27,36,14,Nigeria,,enrolled
616,Female,Online MBA,2022-11-04,36,17,Germany,,enrolled
617,Male,Online MBA,2023-08-11,42,16,China,,on_hold
618,Male,Online MBA,2020-10-22,42,18,India,,rejected
619,Male,Executive MBA,2023-08-08,43,20,China,,enrolled
620,Male,Online MBA,2021-07-07,37,14,China,,withdrawn
621,Male,Online MBA,2020-10-12,37,13,Morocco,,enrolled
622,Male,Executive MBA,2021-05-15,47,13,Finland,,withdrawn
623,Female,Part-time MBA,2022-05-14,31,6,Russian Federation,,enrolled
624,Female,Online MBA,2021-12-13,38,14,China,,enrolled
625,Male,Executive MBA,2022-04-21,44,18,Poland,,enrolled
626,Female,Online MBA,2022-11-27,34,14,Germany,,declined_offer
627,Male,Executive MBA,2021-01-28,35,13,Venezuela,,enrolled
628,Male,Online MBA,2021-02-25,26,5,Russian Federation,,enrolled
629,Female,Online MBA,2023-06-05,44,19,China,,enrolled
630,Male,Online MBA,2023-03-30,37,17,Tunisia,,deferred
631,Female,Part-time MBA,2021-02-27,29,5,China,,enrolled
632,Male,Online MBA,2023-12-01,33,9,Russian Federation,,enrolled
633,Male,Part-time MBA,2021-10-06,29,3,Peru,,enrolled
634,Male,Part-time MBA,2020-11-29,29,7,Mexico,,enrolled
635,Male,Part-time MBA,2021-04-24,29,6,Russian Federation,,enrolled
636,Male,Executive MBA,2022-06-27,36,9,Germany,,rejected
637,Male,Online MBA,2023-09-04,32,13,Germany,,enrolled
638,Female,Executive MBA,2023-09-11,33,11,India,,enrolled
639,Male,Online MBA,2023-03-06,42,19,Russian Federation,,enrolled
640,Male,Online MBA,2020-10-28,37,11,Russian Federation,,enrolled
641,Male,Executive MBA,2022-01-22,40,17,United States,,deferred
642,Male,Part-time MBA,2023-06-27,40,19,India,,on_hold
643,Male,Online MBA,2023-08-10,30,7,Norway,,enrolled
644,Female,Online MBA,2021-02-07,29,5,China,,rejected
645,Male,Part-time MBA,2021-03-08,32,10,Russian Federation,,declined_offer
646,Male,Online MBA,2023-12-15,34,11,Bulgaria,,enrolled
647,Male,Online MBA,2021-03-08,39,8,India,,declined_offer
648,Male,Part-time MBA,2021-07-23,38,14,Germany,,enrolled
649,Male,Executive MBA,2021-03-16,31,8,Germany,,declined_offer
650,Female,Part-time MBA,2023-03-05,30,3,China,,enrolled
651,Female,Online MBA,2022-06-21,31,3,China,,enrolled
652,Male,Part-time MBA,2023-08-13,30,7,India,,enrolled
653,Male,Part-time MBA,2022-01-26,30,7,Germany,,enrolled
654,Male,Part-time MBA,2023-09-25,34,3,Turkey,,enrolled
655,Male,Online MBA,2023-06-05,36,14,India,,enrolled
656,Male,Online MBA,2021-03-03,27,6,France,,withdrawn
657,Female,Online MBA,2021-07-21,40,12,China,,declined_offer
658,Female,Part-time MBA,2023-03-17,29,4,Italy,,enrolled
659,Female,Part-time MBA,2023-01-24,26,3,Italy,,enrolled
660,Male,Online MBA,2021-03-01,29,5,Venezuela,,rejected
661,Male,Part-time MBA,2021-03-31,35,6,Russian Federation,,enrolled
662,Female,Online MBA,2021-10-06,31,9,Taiwan,,enrolled
663,Female,Part-time MBA,2021-01-27,29,5,India,,declined_offer
664,Male,Part-time MBA,2020-11-26,36,6,Germany,,rejected
665,Female,Part-time MBA,2021-03-07,26,3,Germany,,enrolled
666,Male,Online MBA,2023-12-20,27,4,Egypt,,enrolled
667,Female,Online MBA,2021-07-05,33,5,India,,withdrawn
668,Male,Part-time MBA,2022-10-27,29,9,China,,withdrawn
669,Female,Executive MBA,2021-04-21,39,8,China,,enrolled
670,Male,Online MBA,2023-02-10,34,11,India,,enrolled
671,Female,Part-time MBA,2023-12-29,30,9,Germany,,enrolled
672,Female,Executive MBA,2024-02-11,39,16,Pakistan,,enrolled
673,Female,Part-time MBA,2022-04-22,30,11,China,,enrolled
674,Male,Online MBA,2023-01-18,35,10,Russian Federation,,enrolled
675,Female,Part-time MBA,2023-02-18,41,14,India,,enrolled
676,Male,Part-time MBA,2021-05-04,30,5,Morocco,Georgia,declined_offer
677,Female,Online MBA,2021-10-12,34,7,Spain,,enrolled
678,Male,Online MBA,2021-09-13,34,11,Netherlands,,enrolled
679,Female,Part-time MBA,2022-12-21,32,8,Spain,,rejected
680,Female,Part-time MBA,2023-06-07,35,11,Italy,,enrolled
681,Male,Part-time MBA,2021-07-02,32,10,France,,declined_offer
682,Male,Part-time MBA,2023-02-04,29,4,India,,withdrawn
683,Female,Part-time MBA,2021-11-23,35,14,France,,enrolled
684,Male,Online MBA,2021-09-24,34,8,Germany,,enrolled
685,Female,Online MBA,2021-04-07,33,9,Germany,,enrolled
686,Male,Online MBA,2021-03-22,33,14,Russian Federation,,declined_offer
687,Male,Online MBA,2020-12-06,33,9,India,,rejected
688,Male,Online MBA,2023-09-08,46,19,Germany,,enrolled
689,Male,Part-time MBA,2023-10-22,34,5,Germany,,declined_offer
690,Female,Online MBA,2023-05-10,29,5,Croatia,,deferred
691,Female,Part-time MBA,2021-06-27,31,4,Turkey,Tunisia,on_hold
692,Male,Online MBA,2021-06-16,27,5,India,,enrolled
693,Male,Online MBA,2022-10-21,40,12,Russian Federation,,enrolled
694,Female,Part-time MBA,2022-01-09,33,10,Chile,,declined_offer
695,Male,Part-time MBA,2023-07-09,31,6,Norway,,enrolled
696,Male,Executive MBA,2023-07-09,36,12,Germany,,enrolled
697,Male,Online MBA,2020-11-12,49,20,Kenya,Russian Federation,rejected
698,Female,Executive MBA,2021-03-22,37,10,Switzerland,,enrolled
699,Male,Online MBA,2021-02-24,37,14,China,,on_hold
700,Female,Part-time MBA,2023-03-01,27,5,Greece,,enrolled
701,Male,Online MBA,2022-11-13,40,11,Russian Federation,,enrolled
702,Male,Online MBA,2020-12-01,33,8,Portugal,,withdrawn
703,Female,Executive MBA,2023-03-29,40,16,Venezuela,,enrolled
704,Female,Executive MBA,2020-10-07,39,8,Italy,,enrolled
705,Male,Online MBA,2023-11-04,37,12,Russian Federation,,enrolled
706,Female,Online MBA,2021-10-28,44,12,Taiwan,,enrolled
707,Male,Online MBA,2023-02-11,29,7,India,Turkey,on_hold
708,Female,Part-time MBA,2021-01-05,29,6,Taiwan,,enrolled
709,Male,Executive MBA,2021-02-03,36,14,India,,deferred
710,Male,Online MBA,2022-12-12,33,9,China,,on_hold
711,Male,Executive MBA,2021-08-08,45,20,Russian Federation,,enrolled
712,Male,Online MBA,2022-10-27,34,11,China,,withdrawn
713,Male,Executive MBA,2022-11-20,43,16,Estonia,,enrolled
714,Male,Online MBA,2023-06-01,32,2,Russian Federation,,on_hold
715,Male,Online MBA,2023-12-16,31,4,Italy,,enrolled
716,Female,Part-time MBA,2022-01-13,34,9,China,,enrolled
717,Female,Part-time MBA,2021-06-14,28,8,China,,enrolled
718,Female,Online MBA,2021-04-04,30,6,China,,withdrawn
719,Female,Online MBA,2023-12-24,33,10,Rwanda,,enrolled
720,Female,Online MBA,2021-09-25,36,5,Germany,,enrolled
721,Female,Executive MBA,2022-08-22,45,19,China,,deferred
722,Male,Executive MBA,2023-05-19,39,13,Russian Federation,,enrolled
723,Female,Online MBA,2020-11-16,30,5,China,,declined_offer
724,Female,Executive MBA,2024-01-03,39,20,China,,enrolled
725,Male,Online MBA,2020-11-12,31,12,Germany,,enrolled
726,Male,Executive MBA,2021-01-26,38,14,Russian Federation,,enrolled
727,Female,Online MBA,2022-11-22,42,13,United States,,enrolled
728,Male,Executive MBA,2024-01-15,38,11,Serbia,France,enrolled
729,Male,Executive MBA,2022-08-11,37,18,Russian Federation,,withdrawn
730,Male,Part-time MBA,2022-04-30,38,12,China,,enrolled
731,Female,Executive MBA,2022-02-27,44,20,Germany,,withdrawn
732,Female,Executive MBA,2021-04-05,48,19,Germany,,enrolled
733,Female,Online MBA,2021-08-24,35,7,Portugal,,enrolled
734,Male,Executive MBA,2023-08-26,36,17,Pakistan,,withdrawn
735,Male,Online MBA,2020-11-20,35,12,Russian Federation,,enrolled
736,Male,Online MBA,2023-03-25,38,16,India,,enrolled
737,Female,Part-time MBA,2020-11-20,35,6,China,,enrolled
738,Male,Part-time MBA,2023-05-17,30,5,United States,,enrolled
739,Female,Online MBA,2021-10-29,31,7,India,,enrolled
740,Female,Executive MBA,2022-05-16,36,13,Spain,,enrolled
741,Male,Executive MBA,2023-03-11,43,12,United States,,withdrawn
742,Male,Online MBA,2021-11-25,33,4,China,,enrolled
743,Female,Part-time MBA,2022-11-21,38,12,France,,enrolled
744,Male,Part-time MBA,2023-12-06,29,6,Algeria,,rejected
745,Male,Part-time MBA,2022-06-05,29,3,India,,enrolled
746,Male,Online MBA,2022-10-09,40,18,Russian Federation,,enrolled
747,Male,Online MBA,2021-08-03,30,7,Russian Federation,,enrolled
748,Male,Online MBA,2020-12-27,37,18,Russian Federation,,enrolled
749,Male,Executive MBA,2022-07-11,37,8,Poland,,enrolled
750,Female,Executive MBA,2021-07-16,28,5,Hong Kong,Taiwan,enrolled
751,Female,Online MBA,2021-08-17,35,15,Viet Nam,,deferred
752,Male,Online MBA,2020-11-22,40,16,India,,enrolled
753,Female,Online MBA,2023-02-24,30,9,France,,withdrawn
754,Female,Executive MBA,2023-06-24,42,20,Korea,,enrolled
755,Male,Part-time MBA,2023-08-13,46,12,Sweden,,deferred
756,Male,Online MBA,2024-02-21,46,13,India,,withdrawn
757,Male,Online MBA,2021-09-17,37,13,Russian Federation,,rejected
758,Female,Part-time MBA,2023-10-17,38,16,China,,rejected
759,Male,Part-time MBA,2022-05-28,33,9,United States,,declined_offer
760,Female,Online MBA,2022-04-26,32,9,China,,enrolled
761,Male,Executive MBA,2023-09-12,40,14,Portugal,,withdrawn
762,Male,Part-time MBA,2022-01-14,25,2,China,,enrolled
763,Male,Part-time MBA,2023-04-11,26,4,Russian Federation,,enrolled
764,Male,Part-time MBA,2023-11-05,34,7,Russian Federation,,enrolled
765,Male,Online MBA,2022-09-28,36,10,Russian Federation,,rejected
766,Female,Part-time MBA,2023-02-15,29,8,China,,withdrawn
767,Female,Executive MBA,2021-10-07,40,13,China,,deferred
768,Male,Part-time MBA,2023-04-20,30,11,Russian Federation,,enrolled
769,Female,Executive MBA,2023-05-04,33,2,China,,declined_offer
770,Female,Executive MBA,2022-10-22,40,14,United States,,enrolled
771,Male,Online MBA,2023-01-18,31,7,India,,rejected
772,Male,Part-time MBA,2022-12-29,30,9,United States,,declined_offer
773,Male,Online MBA,2022-05-02,31,8,Germany,,enrolled
774,Male,Online MBA,2022-06-10,26,5,France,,deferred
775,Female,Online MBA,2021-04-05,26,3,Hungary,,deferred
776,Female,Online MBA,2022-10-29,31,7,Germany,,enrolled
777,Male,Executive MBA,2023-11-24,40,14,Romania,,withdrawn
778,Male,Online MBA,2022-09-30,32,10,Mexico,,enrolled
779,Male,Online MBA,2020-11-20,31,7,Romania,,enrolled
780,Female,Executive MBA,2021-05-02,27,7,Taiwan,,declined_offer
781,Female,Part-time MBA,2021-10-11,34,4,Germany,,enrolled
782,Male,Online MBA,2020-12-19,28,4,Korea,,enrolled
783,Male,Online MBA,2021-05-04,36,6,China,,enrolled
784,Male,Executive MBA,2023-08-15,36,15,Germany,,enrolled
785,Male,Online MBA,2022-03-21,40,16,Russian Federation,,enrolled
786,Male,Part-time MBA,2021-01-03,30,8,India,,enrolled
787,Female,Online MBA,2021-09-03,40,17,India,,rejected
788,Male,Online MBA,2023-08-11,39,15,Germany,,enrolled
789,Male,Executive MBA,2022-10-06,31,9,India,,enrolled
790,Male,Part-time MBA,2022-04-24,38,14,France,,enrolled
791,Male,Online MBA,2020-10-15,33,6,Russian Federation,,enrolled
792,Male,Online MBA,2023-10-07,41,16,Norway,,declined_offer
793,Male,Online MBA,2024-01-23,35,7,Germany,,withdrawn
794,Male,Online MBA,2021-06-02,45,17,India,,enrolled
795,Male,Online MBA,2024-01-02,28,5,Russian Federation,,enrolled
796,Female,Executive MBA,2020-11-17,41,13,Germany,,enrolled
797,Male,Executive MBA,2022-03-09,23,3,Bulgaria,,withdrawn
798,Male,Online MBA,2020-12-18,29,2,Portugal,,enrolled
799,Male,Online MBA,2023-01-31,31,7,France,Venezuela,enrolled
800,Male,Online MBA,2022-05-18,35,15,Russian Federation,,enrolled
801,Male,Online MBA,2022-01-28,48,19,Sweden,,rejected
802,Male,Online MBA,2023-10-09,29,2,Russian Federation,,enrolled
803,Male,Online MBA,2020-10-29,41,17,Finland,,deferred
804,Male,Online MBA,2021-04-13,35,14,Italy,,rejected
805,Female,Executive MBA,2024-03-29,47,20,Taiwan,,enrolled
806,Male,Online MBA,2020-11-24,31,6,India,,enrolled
807,Female,Executive MBA,2023-11-11,46,19,Greece,,enrolled
808,Female,Part-time MBA,2021-05-21,34,10,China,,withdrawn
809,Male,Online MBA,2023-02-12,35,12,Germany,,declined_offer
810,Male,Online MBA,2022-03-02,43,20,Russian Federation,,enrolled
811,Female,Online MBA,2022-06-14,37,14,Germany,,declined_offer
812,Female,Part-time MBA,2022-06-27,28,5,Italy,,enrolled
813,Male,Part-time MBA,2021-05-08,44,19,Poland,,enrolled
814,Male,Online MBA,2022-04-28,46,19,Germany,,enrolled
815,Male,Part-time MBA,2022-05-09,29,6,Russian Federation,,withdrawn
816,Female,Online MBA,2021-04-24,31,9,Pakistan,,rejected
817,Male,Part-time MBA,2023-01-24,31,5,Russian Federation,,enrolled
818,Female,Online MBA,2021-12-31,30,7,China,,enrolled
819,Male,Online MBA,2023-07-04,37,17,Germany,,enrolled
820,Female,Online MBA,2022-05-25,30,10,France,,enrolled
821,Female,Online MBA,2021-12-27,34,15,China,,enrolled
822,Male,Part-time MBA,2022-10-18,34,8,Brazil,,enrolled
823,Male,Online MBA,2021-11-16,35,11,Russian Federation,Ukraine,rejected
824,Male,Online MBA,2021-04-27,46,11,Germany,,enrolled
825,Male,Executive MBA,2021-06-04,35,15,Russian Federation,,enrolled
826,Male,Online MBA,2022-03-27,35,13,United Kingdom,,withdrawn
827,Male,Online MBA,2023-09-15,32,12,China,,withdrawn
828,Male,Part-time MBA,2022-04-10,32,5,Russian Federation,,withdrawn
829,Male,Part-time MBA,2022-11-09,30,7,Georgia,,enrolled
830,Male,Executive MBA,2022-05-16,40,9,India,,enrolled
831,Male,Part-time MBA,2023-03-28,31,3,Colombia,,rejected
832,Male,Part-time MBA,2021-05-20,38,9,China,,rejected
833,Male,Executive MBA,2021-03-14,28,7,India,,enrolled
834,Male,Part-time MBA,2020-12-28,32,6,Italy,,enrolled
835,Male,Part-time MBA,2023-10-16,30,11,Germany,,rejected
836,Male,Executive MBA,2021-06-11,43,16,Norway,,enrolled
837,Male,Online MBA,2020-10-19,42,19,Viet Nam,,on_hold
838,Male,Part-time MBA,2022-03-08,34,3,Germany,,enrolled
