,gender,program,submitted_on,age_on_program_start,months_work_experience,nationality,other_nationality,applicant_state
427,Male,Master in Finance,2021-11-09,22,0,Russian Federation,,enrolled
428,Male,Master in Management,2021-06-25,24,14,Russian Federation,,on_hold
429,Male,Master in Management,2024-01-06,25,17,France,,declined_offer
430,Male,Master in Management,2021-11-08,21,0,India,,rejected
431,Male,Master in Marketing,2023-05-25,24,7,India,,rejected
432,Female,Master in Marketing,2023-07-16,24,17,China,,rejected
433,Female,Master in Management,2022-11-30,22,1,India,,enrolled
434,Male,Master in Management,2021-10-02,22,0,India,,on_hold
435,Female,Master in Marketing,2022-03-20,23,3,Spain,,enrolled
436,Male,Master in Management,2021-08-20,26,36,France,,rejected
437,Male,Master in Finance,2021-04-22,20,0,Viet Nam,Colombia,declined_offer
438,Female,Master in Marketing,2022-11-22,22,0,China,,declined_offer
439,Female,Master in Finance,2023-10-10,22,4,Ukraine,,rejected
440,Male,Master in Finance,2023-12-09,23,12,Portugal,,rejected
441,Female,Master in Finance,2022-07-27,25,36,India,,enrolled
442,Male,Master in Management,2023-07-02,22,0,China,,enrolled
443,Female,Master in Management,2021-03-13,22,0,China,,enrolled
444,Female,Master in Management,2023-10-22,22,4,China,,enrolled
445,Male,Master in Marketing,2024-01-15,26,17,India,,enrolled
446,Female,Master in Marketing,2022-12-29,22,0,China,,rejected
447,Male,Master in Management,2023-10-15,27,0,India,,withdrawn
448,Male,Master in Marketing,2024-02-02,24,10,India,,rejected
449,Female,Master in Management,2023-06-22,21,0,China,,on_hold
450,Male,Master in Marketing,2022-07-05,23,2,Germany,,enrolled
451,Female,Master in Finance,2021-05-14,22,0,India,,rejected
452,Male,Master in Marketing,2020-09-03,22,0,Ghana,,declined_offer
453,Male,Master in Finance,2023-12-23,21,0,China,,rejected
454,Male,Master in Marketing,2023-10-16,29,6,India,,declined_offer
455,Female,Master in Management,2023-07-13,23,0,China,,rejected
456,Female,Master in Marketing,2023-09-01,23,0,China,,enrolled
457,Male,Master in Marketing,2022-06-27,21,0,India,,rejected
458,Female,Master in Finance,2022-11-25,27,10,India,,enrolled
459,Male,Master in Marketing,2021-08-11,26,24,Netherlands,,declined_offer
460,Male,Master in Marketing,2021-11-11,22,2,Germany,,rejected
461,Male,Master in Finance,2023-02-20,32,6,India,,rejected
462,Female,Master in Marketing,2022-01-11,22,0,China,,declined_offer
463,Male,Master in Finance,2022-11-30,26,15,India,,rejected
464,Male,Master in Marketing,2023-04-26,25,13,Germany,,enrolled
465,Male,Master in Management,2021-05-25,21,0,India,,withdrawn
466,Male,Master in Finance,2022-10-17,25,11,Sweden,,rejected
467,Male,Master in Finance,2023-12-29,22,0,India,,withdrawn
468,Male,Master in Marketing,2023-11-09,22,0,India,,on_hold
469,Male,Master in Finance,2022-01-12,23,8,Hungary,,declined_offer
470,Female,Master in Finance,2021-08-24,24,10,India,,enrolled
471,Male,Master in Marketing,2023-10-24,23,0,Germany,,declined_offer
472,Male,Master in Finance,2023-04-16,20,0,India,,rejected
473,Male,Master in Finance,2023-02-04,22,0,Russian Federation,,declined_offer
474,Male,Master in Management,2023-08-20,24,0,Germany,,on_hold
475,Non-binary,Master in Management,2022-06-15,38,7,United States,,rejected
476,Female,Master in Finance,2021-03-01,22,0,India,Philippines,rejected
477,Male,Master in Management,2021-07-04,27,12,India,,rejected
478,Male,Master in Finance,2023-03-22,22,0,Germany,,declined_offer
479,Female,Master in Finance,2024-01-23,22,10,Algeria,,enrolled
480,Female,Master in Marketing,2023-05-22,25,0,China,,rejected
481,Female,Master in Management,2023-10-22,22,0,China,,rejected
482,Female,Master in Finance,2022-05-28,23,0,China,,deferred
483,Female,Master in Management,2021-03-12,25,16,Taiwan,,declined_offer
484,Female,Master in Finance,2021-12-20,22,0,Russian Federation,,rejected
485,Female,Master in Finance,2022-08-03,22,6,India,,rejected
486,Male,Master in Management,2022-10-15,24,9,India,,rejected
487,Male,Master in Marketing,2022-01-16,23,0,India,,on_hold
488,Male,Master in Finance,2023-06-15,23,12,India,,deferred
489,Female,Master in Marketing,2024-03-18,21,0,India,,declined_offer
490,Female,Master in Finance,2021-02-07,23,5,Italy,Venezuela,on_hold
491,Male,Master in Finance,2021-05-27,23,15,Norway,,deferred
492,Female,Master in Management,2023-12-19,24,8,Venezuela,,enrolled
493,Female,Master in Marketing,2023-04-08,24,10,Germany,,enrolled
494,Female,Master in Finance,2021-11-10,23,0,India,,on_hold
495,Female,Master in Marketing,2020-11-01,23,0,Germany,,enrolled
496,Male,Master in Management,2021-05-31,28,13,Russian Federation,,declined_offer
497,Female,Master in Marketing,2020-11-09,23,13,Turkey,,enrolled
498,Female,Master in Marketing,2022-08-13,21,0,Netherlands,,rejected
499,Male,Master in Finance,2022-01-03,21,0,India,Romania,withdrawn
500,Male,Master in Finance,2023-08-12,25,0,India,,rejected
501,Female,Master in Marketing,2024-02-10,21,0,India,,enrolled
502,Male,Master in Marketing,2023-04-24,25,1,India,,enrolled
503,Male,Master in Management,2020-10-05,21,0,Germany,,on_hold
504,Male,Master in Marketing,2021-04-23,22,14,Russian Federation,,declined_offer
505,Female,Master in Marketing,2021-03-23,21,0,India,,on_hold
506,Male,Master in Marketing,2020-11-03,25,4,India,,declined_offer
507,Female,Master in Management,2023-09-28,22,0,Viet Nam,,deferred
508,Male,Master in Finance,2021-09-12,23,4,India,,rejected
509,Female,Master in Management,2022-02-05,23,6,China,,rejected
510,Female,Master in Marketing,2021-11-26,24,4,China,,rejected
511,Male,Master in Management,2022-09-24,22,0,India,,rejected
512,Female,Master in Marketing,2023-02-23,24,0,Italy,,enrolled
513,Male,Master in Finance,2021-07-25,23,9,India,,rejected
514,Male,Master in Marketing,2020-10-28,21,0,Egypt,,enrolled
515,Male,Master in Marketing,2023-11-17,23,0,China,,enrolled
516,Male,Master in Marketing,2021-09-01,24,14,Germany,,withdrawn
517,Female,Master in Finance,2021-04-09,22,0,China,,rejected
518,Female,Master in Management,2021-11-15,22,0,Germany,,on_hold
519,Male,Master in Finance,2022-06-18,23,13,India,,rejected
520,Female,Master in Finance,2024-03-19,26,0,China,,deferred
521,Male,Master in Marketing,2021-09-09,22,0,Nigeria,,enrolled
522,Male,Master in Marketing,2021-12-22,23,9,India,,deferred
523,Male,Master in Marketing,2023-07-14,22,20,Germany,,rejected
524,Female,Master in Marketing,2021-09-11,26,0,Germany,,declined_offer
525,Female,Master in Marketing,2022-01-19,22,0,Greece,,declined_offer
526,Female,Master in Finance,2023-12-25,22,0,India,,enrolled
527,Female,Master in Management,2023-03-22,21,6,China,,withdrawn
528,Female,Master in Marketing,2022-06-03,25,16,India,,deferred
529,Female,Master in Marketing,2023-04-27,21,0,India,,on_hold
530,Male,Master in Management,2021-08-18,23,6,Norway,,enrolled
531,Male,Master in Management,2022-07-25,24,16,Portugal,,rejected
532,Female,Master in Marketing,2021-07-09,32,10,Ukraine,,on_hold
533,Female,Master in Management,2021-05-05,22,0,Pakistan,,rejected
534,Male,Master in Marketing,2024-02-29,22,0,China,,rejected
535,Female,Master in Management,2024-01-03,24,17,Spain,Iran,declined_offer
536,Female,Master in Marketing,2023-02-19,23,7,China,Mexico,rejected
537,Male,Master in Marketing,2022-01-03,23,0,Switzerland,,enrolled
538,Male,Master in Management,2023-03-15,22,0,Pakistan,,rejected
539,Female,Master in Finance,2022-05-15,23,12,India,,on_hold
540,Male,Master in Finance,2020-11-19,23,10,Russian Federation,,declined_offer
541,Female,Master in Finance,2022-09-19,23,0,Russian Federation,,enrolled
542,Male,Master in Finance,2022-02-20,22,0,United Kingdom,,declined_offer
543,Male,Master in Marketing,2021-05-14,22,0,Russian Federation,,rejected
544,Male,Master in Marketing,2022-04-19,25,6,Russian Federation,,enrolled
545,Male,Master in Marketing,2022-01-19,23,0,Germany,,on_hold
546,Female,Master in Finance,2022-01-29,25,24,China,,on_hold
547,Male,Master in Management,2022-03-23,24,0,India,,on_hold
548,Male,Master in Marketing,2022-08-31,21,0,China,Jordan,rejected
549,Male,Master in Marketing,2022-01-22,22,0,India,,on_hold
550,Male,Master in Marketing,2021-05-17,23,9,China,,enrolled
551,Female,Master in Management,2023-09-10,22,5,China,,on_hold
552,Female,Master in Finance,2024-02-22,23,11,India,,enrolled
553,Female,Master in Finance,2023-01-24,21,5,Belarus,,declined_offer
554,Female,Master in Management,2023-03-29,22,0,India,,withdrawn
555,Male,Master in Management,2020-10-06,22,3,Russian Federation,China,rejected
556,Male,Master in Finance,2022-09-27,22,0,India,,on_hold
557,Female,Master in Finance,2023-05-11,24,0,India,,on_hold
558,Female,Master in Finance,2021-11-09,22,8,India,,rejected
559,Female,Master in Marketing,2022-10-14,24,14,China,,declined_offer
560,Male,Master in Management,2023-12-01,22,0,France,,declined_offer
561,Female,Master in Management,2023-08-25,24,16,China,,enrolled
562,Male,Master in Management,2021-03-09,23,0,Spain,,enrolled
563,Female,Master in Management,2022-09-11,23,0,China,,enrolled
564,Female,Master in Marketing,2024-03-20,23,0,India,,deferred
565,Female,Master in Finance,2021-11-27,26,8,Italy,,declined_offer
566,Female,Master in Management,2022-02-16,20,0,China,,rejected
567,Female,Master in Management,2021-07-08,24,0,Greece,,enrolled
568,Male,Master in Marketing,2022-05-19,24,6,Spain,,declined_offer
569,Male,Master in Management,2021-02-02,23,9,Norway,,rejected
570,Female,Master in Management,2023-01-25,25,36,India,,rejected
571,Male,Master in Management,2021-03-29,26,9,Venezuela,,declined_offer
572,Male,Master in Management,2022-03-19,22,0,Brazil,India,on_hold
573,Male,Master in Management,2022-12-26,21,2,India,,rejected
574,Female,Master in Management,2020-11-22,25,7,India,,enrolled
575,Female,Master in Marketing,2023-08-24,25,6,Turkey,,rejected
576,Female,Master in Finance,2021-05-20,24,0,Italy,,enrolled
577,Male,Master in Finance,2022-08-25,23,7,Romania,,enrolled
578,Female,Master in Management,2021-08-10,22,14,Taiwan,,rejected
579,Male,Master in Management,2021-06-06,25,13,Egypt,,declined_offer
580,Female,Master in Management,2021-06-25,21,0,Spain,,rejected
581,Female,Master in Marketing,2022-07-29,23,3,China,Australia,enrolled
582,Female,Master in Finance,2023-09-08,22,22,Turkey,,on_hold
583,Male,Master in Marketing,2021-12-15,24,12,India,,rejected
584,Male,Master in Marketing,2021-12-16,23,0,India,,on_hold
585,Male,Master in Finance,2021-10-17,22,0,Peru,,enrolled
586,Male,Master in Marketing,2024-02-06,30,14,Germany,,withdrawn
587,Male,Master in Finance,2021-10-03,22,0,Germany,,enrolled
588,Female,Master in Finance,2024-02-22,25,11,Portugal,,declined_offer
589,Male,Master in Marketing,2020-09-10,24,12,India,,enrolled
590,Male,Master in Management,2022-09-04,24,0,Netherlands,,rejected
591,Male,Master in Finance,2024-02-19,26,0,Ghana,,rejected
592,Male,Master in Marketing,2021-04-24,23,10,India,,rejected
593,Male,Master in Marketing,2021-12-17,24,12,India,,on_hold
594,Female,Master in Management,2022-01-28,34,0,Germany,,rejected
595,Female,Master in Management,2021-08-04,25,10,India,,rejected
596,Male,Master in Finance,2023-01-19,22,0,India,Taiwan,rejected
597,Male,Master in Finance,2020-12-27,25,8,India,Sweden,rejected
598,Male,Master in Management,2023-03-29,22,12,India,,enrolled
599,Male,Master in Management,2021-05-21,22,0,India,,on_hold
600,Female,Master in Marketing,2022-12-16,24,0,Germany,,declined_offer
601,Female,Master in Finance,2023-01-07,22,24,India,,rejected
602,Female,Master in Management,2022-09-27,23,0,China,,rejected
603,Male,Master in Finance,2020-10-20,25,7,India,,rejected
604,Female,Master in Marketing,2020-09-24,22,12,Italy,,declined_offer
605,Male,Master in Management,2021-05-13,23,0,Taiwan,,rejected
606,Male,Master in Management,2021-05-15,23,0,Germany,Taiwan,enrolled
607,Male,Master in Marketing,2022-03-08,22,0,India,,withdrawn
608,Male,Master in Marketing,2023-11-05,22,0,India,,rejected
609,Male,Master in Finance,2020-11-05,24,16,Germany,Iran,declined_offer
610,Male,Master in Finance,2020-09-19,24,0,India,,withdrawn
611,Female,Master in Marketing,2023-04-25,22,0,Taiwan,,declined_offer
612,Male,Master in Management,2021-02-10,24,7,India,,on_hold
613,Male,Master in Finance,2021-07-01,25,13,Russian Federation,,rejected
614,Male,Master in Management,2022-02-07,24,10,India,Lebanon,declined_offer
615,Male,Master in Marketing,2022-04-06,23,18,India,,declined_offer
616,Male,Master in Marketing,2021-05-24,21,0,United States,,rejected
617,Male,Master in Marketing,2020-11-07,23,10,India,,rejected
618,Female,Master in Marketing,2023-01-26,25,18,China,,on_hold
619,Male,Master in Management,2021-06-28,21,0,India,,withdrawn
620,Female,Master in Marketing,2021-06-28,21,0,Taiwan,,enrolled
621,Female,Master in Marketing,2021-01-07,24,0,China,,enrolled
622,Female,Master in Finance,2021-07-23,22,0,France,,enrolled
623,Male,Master in Management,2024-03-05,22,0,Egypt,,enrolled
624,Male,Master in Marketing,2021-04-20,22,0,Estonia,,rejected
625,Female,Master in Management,2023-09-28,22,0,Netherlands,,enrolled
626,Female,Master in Finance,2023-12-21,22,0,Georgia,,rejected
627,Male,Master in Management,2021-04-06,26,7,Iran,,rejected
628,Male,Master in Management,2021-06-26,21,0,Russian Federation,Estonia,declined_offer
629,Male,Master in Finance,2021-03-24,24,2,Russian Federation,,rejected
630,Male,Master in Marketing,2021-10-05,25,13,Russian Federation,,rejected
631,Female,Master in Finance,2021-06-19,23,7,China,,rejected
632,Female,Master in Finance,2023-08-24,24,10,India,,rejected
633,Male,Master in Management,2022-08-10,28,24,India,,rejected
634,Female,Master in Finance,2023-08-28,22,3,France,,declined_offer
635,Female,Master in Finance,2021-01-16,23,0,India,,enrolled
636,Female,Master in Finance,2023-09-24,25,8,Netherlands,,rejected
637,Female,Master in Finance,2021-07-10,29,11,China,,rejected
638,Female,Master in Management,2023-04-24,23,0,Morocco,,on_hold
639,Male,Master in Management,2023-12-11,24,10,Russian Federation,,rejected
640,Female,Master in Management,2023-11-19,32,7,China,,enrolled
641,Male,Master in Marketing,2024-02-07,22,0,Russian Federation,,rejected
642,Male,Master in Finance,2023-01-06,24,15,India,Morocco,rejected
643,Male,Master in Marketing,2021-09-19,23,4,Czech Republic,,enrolled
644,Female,Master in Management,2020-09-26,23,0,Pakistan,,enrolled
645,Female,Master in Finance,2023-05-15,22,0,China,,rejected
646,Female,Master in Finance,2022-04-09,25,0,Mexico,,enrolled
647,Male,Master in Marketing,2021-08-24,23,0,Germany,,on_hold
648,Female,Master in Management,2021-08-10,22,11,India,,withdrawn
649,Female,Master in Marketing,2022-11-10,26,36,India,,rejected
650,Male,Master in Finance,2024-03-16,21,0,Spain,,enrolled
651,Male,Master in Marketing,2021-03-09,22,0,Egypt,,enrolled
652,Male,Master in Management,2021-03-01,26,24,Philippines,,on_hold
653,Female,Master in Management,2020-10-31,23,0,China,,declined_offer
654,Male,Master in Marketing,2021-05-14,20,0,Russian Federation,,declined_offer
655,Female,Master in Marketing,2023-03-16,24,0,Mexico,,enrolled
656,Female,Master in Marketing,2022-11-19,22,4,Algeria,,enrolled
657,Female,Master in Management,2023-12-29,23,6,Jordan,,enrolled
658,Male,Master in Marketing,2022-08-27,29,0,India,,withdrawn
659,Female,Master in Marketing,2022-10-13,24,14,Spain,,on_hold
660,Male,Master in Finance,2023-12-14,28,0,India,Canada,rejected
661,Male,Master in Finance,2022-11-27,24,17,China,,enrolled
662,Female,Master in Finance,2023-09-22,22,8,Germany,,declined_offer
663,Male,Master in Finance,2021-06-11,23,0,Germany,,enrolled
664,Male,Master in Management,2020-11-18,22,24,Russian Federation,,enrolled
665,Female,Master in Finance,2022-05-25,24,7,Hungary,,enrolled
666,Female,Master in Management,2023-10-03,23,0,Romania,,enrolled
667,Female,Master in Finance,2021-04-14,23,0,China,,rejected
668,Female,Master in Management,2023-09-18,20,0,China,,rejected
669,Female,Master in Management,2023-06-08,22,21,Italy,,enrolled
670,Female,Master in Management,2021-10-25,32,24,India,Egypt,rejected
671,Female,Master in Management,2021-10-04,25,8,China,,rejected
672,Male,Master in Marketing,2024-02-06,27,7,India,,rejected
673,Male,Master in Marketing,2021-06-12,23,8,India,,enrolled
674,Female,Master in Marketing,2023-10-16,23,0,Hong Kong,,enrolled
675,Male,Master in Marketing,2022-11-16,21,0,China,,enrolled
676,Male,Master in Management,2022-12-04,23,0,Egypt,,declined_offer
677,Male,Master in Marketing,2022-09-26,23,0,Germany,,declined_offer
678,Male,Master in Management,2023-12-02,21,14,Germany,,rejected
679,Female,Master in Management,2023-10-04,23,12,China,Serbia,on_hold
680,Female,Master in Management,2023-09-16,21,0,Taiwan,,on_hold
681,Female,Master in Management,2023-11-07,23,0,China,,enrolled
682,Female,Master in Finance,2021-05-15,23,11,Algeria,,rejected
683,Female,Master in Finance,2023-12-20,25,5,Netherlands,,enrolled
684,Female,Master in Finance,2022-05-14,22,6,China,Georgia,rejected
685,Female,Master in Management,2022-05-23,24,6,Switzerland,,declined_offer
686,Male,Master in Finance,2021-05-16,25,22,United States,,declined_offer
687,Male,Master in Marketing,2022-06-14,24,0,India,,rejected
688,Female,Master in Marketing,2024-02-13,22,3,Germany,,enrolled
689,Male,Master in Marketing,2022-01-12,22,0,India,,enrolled
690,Female,Master in Finance,2024-02-13,25,8,Germany,,declined_offer
691,Female,Master in Management,2023-12-30,22,0,China,,enrolled
692,Male,Master in Management,2021-12-02,22,0,India,,rejected
693,Male,Master in Management,2021-04-18,22,0,Germany,Ukraine,on_hold
694,Female,Master in Management,2022-08-03,24,6,Taiwan,,enrolled
695,Male,Master in Finance,2022-06-01,21,0,Germany,,enrolled
696,Male,Master in Finance,2023-01-17,26,7,India,,on_hold
697,Female,Master in Management,2024-01-20,23,0,China,,on_hold
698,Female,Master in Finance,2024-01-21,25,18,India,,enrolled
699,Male,Master in Management,2021-12-18,24,9,Russian Federation,,enrolled
700,Male,Master in Finance,2023-01-12,29,12,Serbia,,rejected
701,Female,Master in Finance,2022-09-21,24,12,Germany,,declined_offer
702,Male,Master in Marketing,2022-09-30,23,9,India,,rejected
703,Male,Master in Management,2022-06-24,23,2,Serbia,,enrolled
704,Female,Master in Finance,2021-03-18,23,0,China,,enrolled
705,Male,Master in Marketing,2023-11-15,22,0,Russian Federation,,rejected
706,Female,Master in Finance,2022-05-18,22,0,Belarus,,deferred
707,Male,Master in Marketing,2024-03-30,21,0,San Marino,,enrolled
708,Female,Master in Finance,2021-08-15,25,10,Germany,,enrolled
709,Female,Master in Management,2020-12-31,23,10,Italy,Morocco,enrolled
710,Male,Master in Management,2022-09-06,21,0,India,,enrolled
711,Female,Master in Management,2023-09-10,22,0,Netherlands,,enrolled
712,Female,Master in Management,2021-02-22,20,0,China,,enrolled
713,Female,Master in Finance,2022-04-11,24,15,Ghana,,enrolled
714,Male,Master in Management,2022-09-09,22,15,India,,on_hold
715,Female,Master in Marketing,2023-03-20,23,6,Italy,,rejected
716,Male,Master in Finance,2023-12-06,24,13,Russian Federation,,declined_offer
717,Female,Master in Marketing,2022-02-15,24,15,India,,enrolled
718,Male,Master in Marketing,2023-08-26,23,17,Russian Federation,,rejected
719,Male,Master in Management,2023-02-28,36,14,Spain,,enrolled
720,Female,Master in Marketing,2022-03-28,22,19,Germany,,rejected
721,Female,Master in Finance,2023-04-03,21,0,China,,rejected
722,Male,Master in Finance,2022-10-25,24,15,India,,rejected
723,Male,Master in Management,2023-02-21,25,6,Germany,,rejected
724,Male,Master in Marketing,2020-09-28,22,0,Germany,,rejected
725,Male,Master in Management,2022-06-23,21,0,Russian Federation,,enrolled
726,Female,Master in Management,2023-01-27,21,0,Czech Republic,,enrolled
727,Female,Master in Marketing,2023-07-08,23,0,China,Bulgaria,declined_offer
728,Male,Master in Management,2022-11-03,24,0,China,,on_hold
729,Male,Master in Management,2023-03-23,21,0,India,Brazil,rejected
730,Male,Master in Management,2021-07-10,23,17,Czech Republic,,enrolled
731,Female,Master in Finance,2023-03-13,23,7,India,,on_hold
732,Male,Master in Management,2020-09-22,21,0,Poland,,declined_offer
733,Male,Master in Management,2023-11-13,25,24,India,,rejected
734,Male,Master in Finance,2024-02-28,27,16,Russian Federation,,declined_offer
735,Female,Master in Management,2021-05-13,24,5,Germany,,enrolled
736,Male,Master in Finance,2023-05-08,24,5,Germany,,rejected
737,Female,Master in Management,2023-07-02,21,0,Venezuela,,rejected
738,Male,Master in Marketing,2023-08-16,21,0,Germany,,declined_offer
739,Male,Master in Management,2020-12-02,24,0,Germany,,rejected
740,Male,Master in Management,2022-04-07,23,12,India,,rejected
741,Female,Master in Finance,2022-03-19,20,0,China,,withdrawn
742,Female,Master in Finance,2020-09-13,23,18,China,,enrolled
743,Male,Master in Management,2022-07-16,22,24,India,,rejected
744,Male,Master in Finance,2020-09-29,23,8,India,,on_hold
745,Male,Master in Marketing,2023-08-22,26,24,Germany,,declined_offer
746,Female,Master in Finance,2022-06-23,22,11,India,,declined_offer
747,Female,Master in Marketing,2021-07-14,22,0,Spain,,enrolled
748,Female,Master in Finance,2022-01-03,23,10,Germany,,enrolled
749,Female,Master in Marketing,2024-02-28,25,20,China,,enrolled
750,Male,Master in Marketing,2021-04-24,23,8,Mexico,,enrolled
751,Female,Master in Management,2022-09-02,22,9,Taiwan,,enrolled
752,Female,Master in Finance,2022-06-01,24,9,China,,withdrawn
753,Male,Master in Finance,2022-01-13,24,17,Serbia,,rejected
754,Male,Master in Management,2024-01-19,23,0,India,,enrolled
755,Female,Master in Marketing,2022-11-12,25,24,Italy,,enrolled
756,Male,Master in Management,2022-04-22,25,12,Pakistan,,withdrawn
757,Male,Master in Finance,2023-08-02,25,7,China,,on_hold
758,Male,Master in Finance,2022-12-02,24,10,Germany,,enrolled
759,Male,Master in Management,2021-06-06,22,0,India,,on_hold
760,Male,Master in Management,2022-07-24,25,18,India,,rejected
761,Female,Master in Management,2022-11-29,23,4,China,United Kingdom,declined_offer
762,Female,Master in Management,2021-01-21,21,0,Turkey,,enrolled
763,Male,Master in Marketing,2021-08-25,20,8,India,,rejected
764,Male,Master in Finance,2023-01-20,22,13,Kenya,,enrolled
765,Female,Master in Management,2021-10-28,22,0,China,,declined_offer
766,Male,Master in Finance,2022-12-16,23,0,Venezuela,,enrolled
767,Male,Master in Finance,2021-04-30,22,5,India,,withdrawn
768,Female,Master in Finance,2023-06-23,23,0,India,,rejected
769,Male,Master in Finance,2021-08-29,24,12,Egypt,Estonia,enrolled
770,Male,Master in Management,2021-12-18,23,9,Germany,,enrolled
771,Female,Master in Management,2022-09-14,24,3,China,,on_hold
772,Male,Master in Marketing,2023-11-29,23,5,Germany,,rejected
773,Male,Master in Marketing,2021-07-18,21,0,India,,rejected
774,Male,Master in Marketing,2023-03-30,25,24,India,,on_hold
775,Male,Master in Marketing,2022-05-27,23,0,Venezuela,,withdrawn
776,Male,Master in Finance,2023-01-07,23,5,Germany,,enrolled
777,Female,Master in Marketing,2022-08-23,23,4,Turkey,,enrolled
778,Male,Master in Marketing,2022-04-28,25,8,India,Finland,rejected
779,Male,Master in Marketing,2021-02-10,22,0,United States,,rejected
780,Male,Master in Finance,2022-08-27,26,0,Russian Federation,,on_hold
781,Male,Master in Management,2022-09-16,31,13,India,,declined_offer
782,Female,Master in Management,2022-03-02,22,0,Spain,,enrolled
783,Male,Master in Finance,2023-04-08,22,0,Russian Federation,,declined_offer
784,Male,Master in Management,2022-11-18,24,0,India,,enrolled
785,Female,Master in Marketing,2023-07-12,40,11,China,,rejected
786,Male,Master in Marketing,2021-08-07,24,0,Russian Federation,,enrolled
787,Male,Master in Finance,2022-06-19,25,24,Iran,,rejected
788,Male,Master in Finance,2023-02-27,22,0,China,,rejected
789,Female,Master in Management,2023-11-23,24,20,China,,rejected
790,Female,Master in Finance,2020-10-22,24,4,India,,on_hold
791,Female,Master in Management,2020-10-20,26,14,China,,withdrawn
792,Female,Master in Management,2022-08-03,23,0,Viet Nam,,on_hold
793,Female,Master in Marketing,2022-06-13,22,0,Taiwan,,enrolled
794,Male,Master in Management,2021-06-12,23,0,Korea,,declined_offer
795,Male,Master in Marketing,2022-04-08,22,23,India,,rejected
796,Male,Master in Marketing,2021-01-28,24,21,Bulgaria,,enrolled
797,Female,Master in Management,2021-03-24,22,15,Mexico,,enrolled
798,Male,Master in Finance,2022-11-12,24,12,India,,rejected
799,Male,Master in Finance,2023-07-21,23,10,India,,rejected
800,Male,Master in Finance,2021-03-03,23,0,India,,enrolled
801,Female,Master in Management,2024-03-16,22,4,India,,declined_offer
802,Male,Master in Finance,2022-07-17,23,2,Russian Federation,,enrolled
803,Female,Master in Finance,2023-12-07,21,0,India,Portugal,declined_offer
804,Male,Master in Marketing,2022-04-20,26,0,China,,rejected
805,Male,Master in Management,2020-12-17,21,0,United States,,enrolled
806,Male,Master in Marketing,2022-06-09,23,0,Germany,,declined_offer
807,Female,Master in Finance,2020-10-18,24,9,China,,enrolled
808,Female,Master in Finance,2020-10-13,25,7,China,Italy,declined_offer
809,Male,Master in Marketing,2023-11-25,21,0,Portugal,,enrolled
810,Female,Master in Management,2020-12-17,23,5,Germany,,enrolled
811,Female,Master in Management,2023-08-13,23,0,Pakistan,,on_hold
812,Female,Master in Finance,2022-01-31,24,0,Algeria,,deferred
813,Female,Master in Management,2022-01-11,23,0,Taiwan,,on_hold
814,Female,Master in Marketing,2023-10-11,22,16,Taiwan,,declined_offer
815,Male,Master in Marketing,2021-03-26,23,0,India,,enrolled
816,Male,Master in Finance,2021-03-13,21,0,India,,withdrawn
817,Female,Master in Finance,2022-06-21,20,0,Taiwan,,rejected
818,Male,Master in Marketing,2021-02-13,23,0,Germany,,on_hold
819,Female,Master in Marketing,2021-05-03,24,24,United States,,enrolled
820,Male,Master in Finance,2022-09-09,23,2,India,,on_hold
821,Male,Master in Management,2022-12-27,24,0,United Kingdom,,enrolled
822,Male,Master in Finance,2022-10-08,24,0,India,,rejected
823,Male,Master in Finance,2023-01-20,25,7,Germany,,enrolled
824,Female,Master in Management,2022-10-04,21,0,Germany,,enrolled
825,Female,Master in Finance,2020-12-15,22,0,China,France,enrolled
826,Male,Master in Finance,2023-06-28,24,0,Norway,Jordan,rejected
827,Male,Master in Management,2024-02-14,21,0,France,,declined_offer
828,Female,Master in Management,2023-04-12,23,12,Hungary,,declined_offer
829,Female,Master in Management,2022-05-31,21,8,India,,on_hold
830,Female,Master in Management,2023-04-23,22,16,Germany,Mexico,enrolled
831,Female,Master in Management,2023-07-13,22,0,China,,declined_offer
832,Female,Master in Management,2022-03-07,20,5,China,,declined_offer
833,Male,Master in Finance,2021-04-08,21,0,Germany,,rejected
834,Male,Master in Management,2021-10-07,21,0,Morocco,,declined_offer
835,Male,Master in Management,2020-11-05,25,15,France,,enrolled
836,Female,Master in Management,2023-12-28,23,12,India,,rejected
837,Male,Master in Marketing,2021-10-10,23,0,Russian Federation,,enrolled
838,Male,Master in Management,2022-01-09,26,0,Germany,India,rejected
839,Female,Master in Management,2022-10-15,22,13,China,,enrolled
840,Male,Master in Marketing,2022-05-19,21,0,India,,rejected
841,Male,Master in Finance,2022-02-19,24,9,India,,rejected
842,Female,Master in Finance,2023-08-21,24,17,Lebanon,,enrolled
843,Male,Master in Marketing,2022-03-23,21,0,India,,on_hold
844,Female,Master in Management,2020-09-28,22,0,India,,enrolled
845,Male,Master in Finance,2023-05-05,25,0,Ireland,,declined_offer
846,Female,Master in Management,2021-11-20,20,0,India,,on_hold
847,Female,Master in Management,2024-02-29,21,5,Morocco,,enrolled
848,Female,Master in Management,2020-12-10,24,0,Greece,,on_hold
849,Male,Master in Finance,2020-10-10,24,6,India,,rejected
850,Female,Master in Finance,2021-10-16,22,7,Taiwan,,rejected
851,Male,Master in Finance,2022-07-07,24,12,India,,rejected
852,Male,Master in Marketing,2024-02-21,23,0,Iran,,enrolled
853,Male,Master in Finance,2023-12-26,24,21,Russian Federation,,rejected
